parallax,parallax_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,target_id,g_mag_error,bp_mag_error,bp-g,bp-g error,absolute_G_mag,absolute_G_mag_error,Type,bp_g_ZZ_Cet,abs_G_ZZ_Cet,bp_g_V777_Her,abs_G_V777_Her,bp_g_GW_Vir,abs_G_GW_Vir,bp_g_Hot_DQV,abs_G_Hot_DQV,bp_g_ELM_DAV,abs_G_ELM_DAV,bp_g_Hot_DAV,abs_G_Hot_DAV
2.788255952,0.208842614,822.1234064,1.836404478,18.401024,702.0134551,8.139374464,18.235525,SDSS J085202.44+213036.5,0.003020707,0.012669032,-0.165499,0.013024172,10.62768719,0.162673079,V777 Her,,,,,,,,,,,,
1.641383994,0.464231829,366.6891261,1.887579479,19.27762,301.7033638,8.923407781,19.152437,SDSS J104318.45+415412.5,0.005872966,0.032150856,-0.125183,0.032682859,10.35367097,0.614184556,V777 Her,,,,,,,,,,,,
1.787076543,0.325097852,391.3320252,1.84104958,19.207003,352.2544715,9.646802609,18.984247,SDSS J122314.25+435009.1,0.00541697,0.029774011,-0.222756,0.03026277,10.46771877,0.395062757,V777 Her,,,,,,,,,,,,
1.477944248,0.449206034,319.9437774,1.349822519,19.425682,265.1859057,9.010993369,19.292513,SDSS J125759.04-021313.4,0.004922659,0.03692873,-0.133169,0.037255385,10.27397226,0.660015182,V777 Her,,,,,,,,,,,,
3.657394337,0.108880308,1575.196909,2.230127981,17.695028,1356.072609,13.60814095,17.520681,SDSS J130516.51+405640.8,0.002367279,0.010987529,-0.174347,0.011239653,10.51088694,0.064687873,V777 Her,,,,,,,,,,,,
2.070323489,0.189614442,464.6925216,1.193789883,19.02045,376.2048905,8.521196705,18.912827,SDSS J130742.43+622956.8,0.00332019,0.024638158,-0.107623,0.024860863,10.60064105,0.198906067,V777 Her,,,,,,,,,,,,
1.608637974,0.462479377,325.3499817,1.464775299,19.407488,290.1940754,10.8023995,19.194666,SDSS J140814.64+003838.9,0.005210146,0.040450304,-0.212822,0.040784467,10.43977958,0.624314605,V777 Her,,,,,,,,,,,,
1.813099397,0.082115073,24877.33142,18.64094083,14.698856,23822.60685,158.8091038,14.408915,GW Vir,0.001975398,0.007373747,-0.289941,0.007633763,5.990964068,0.098365584,GW Vir,,,,,,,,,,,,
0.267669987,0.0731825,4266.031488,9.266737191,16.613306,3922.592339,26.95807602,16.367455,PN Lo 4,0.002967322,0.007593721,-0.245851,0.008152889,3.751304388,0.593700348,GW Vir,,,,,,,,,,,,
1.95205252,0.100740831,355691.0303,261.9038842,11.810683,341464.0942,2018.944428,11.518025,NGC 246,0.001969629,0.006571946,-0.292658,0.006860751,3.26314049,0.112081883,GW Vir,,,,,,,,,,,,
